FlyBase ID	Symbol	Group	Annotation Symbol	Gene Group 1	Gene Group 2
FBgn0000422	Ddc	NT	CG10697		
FBgn0005626	ple	NT	CG10118		
FBgn0010329	Tbh	NT	CG1543		
FBgn0259977	Tdc1	NT	CG30445		
FBgn0050446	Tdc2	NT	CG30446		
FBgn0035187	Trh	NT	CG9122		
FBgn0000303	ChAT	NT	CG12345		
FBgn0004516	Gad1	NT	CG14994		
FBgn0260964	Vmat	NT	CG33528	SOLUTE CARRIER FAMILY 18	
FBgn0034136	DAT	NT	CG8380	SOLUTE CARRIER FAMILY 6	
FBgn0010414	SerT	NT	CG4545	SOLUTE CARRIER FAMILY 6	
FBgn0270928	VAChT	NT	CG32848	SOLUTE CARRIER FAMILY 18	
FBgn0038641	CG7708	NT	CG7708	SOLUTE CARRIER FAMILY 5	
FBgn0031424	VGlut	NT	CG9887	SOLUTE CARRIER FAMILY 17	
FBgn0026439	Eaat1	NT	CG3747	SOLUTE CARRIER FAMILY 1	
FBgn0026438	Eaat2	NT	CG3159	SOLUTE CARRIER FAMILY 1	
FBgn0033911	VGAT	NT	CG8394	SOLUTE CARRIER FAMILY 32	
FBgn0039915	Gat	NT	CG1732	SOLUTE CARRIER FAMILY 6	
FBgn0004168	5-HT1A	NT.receptor	CG16720	5-HYDROXYTRYPTAMINE (SEROTONIN) GPCRs	
FBgn0263116	5-HT1B	NT.receptor	CG15113	5-HYDROXYTRYPTAMINE (SEROTONIN) GPCRs	
FBgn0087012	5-HT2A	NT.receptor	CG1056	5-HYDROXYTRYPTAMINE (SEROTONIN) GPCRs	
FBgn0261929	5-HT2B	NT.receptor	CG42796	5-HYDROXYTRYPTAMINE (SEROTONIN) GPCRs	
FBgn0004573	5-HT7	NT.receptor	CG12073	5-HYDROXYTRYPTAMINE (SEROTONIN) GPCRs	
FBgn0039747	AdoR	NT.receptor	CG9753	PURINE GPCRs	
FBgn0039927	CG11155	NT.receptor	CG11155	NON-NMDA IONOTROPIC GLUTAMATE RECEPTORS - OTHER	
FBgn0033558	CG12344	NT.receptor	CG12344	GABA-GATED CHLORIDE CHANNEL SUBUNITS	
FBgn0035010	CG13579	NT.receptor	CG13579	ORPHAN AMINE RECEPTORS	
FBgn0038653	CG18208	NT.receptor	CG18208	ORPHAN AMINE RECEPTORS	
FBgn0038837	CG3822	NT.receptor	CG3822	NON-NMDA IONOTROPIC GLUTAMATE RECEPTORS - OTHER	
FBgn0030707	CG8916	NT.receptor	CG8916	GABA-GATED CHLORIDE CHANNEL SUBUNITS	
FBgn0030707	CG8916	NT.receptor	CG8916	GABA-GATED CHLORIDE CHANNEL SUBUNITS	
FBgn0033313	Cirl	NT.receptor	CG8639	"CLASS B GPCRs, SUBFAMILY B2"	
FBgn0026255	clumsy	NT.receptor	CG8681	NON-NMDA IONOTROPIC GLUTAMATE RECEPTORS - OTHER	
FBgn0011582	Dop1R1	NT.receptor	CG9652	DOPAMINE RECEPTORS	
FBgn0266137	Dop1R2	NT.receptor	CG18741	DOPAMINE RECEPTORS	
FBgn0053517	Dop2R	NT.receptor	CG33517	DOPAMINE RECEPTORS	
FBgn0035538	DopEcR	NT.receptor	CG18314	DOPAMINE RECEPTORS	
FBgn0039916	Ekar	NT.receptor	CG9935	NON-NMDA IONOTROPIC GLUTAMATE RECEPTORS - OTHER	
FBgn0260446	GABA-B-R1	NT.receptor	CG15274	GABA(B) RECEPTORS	
FBgn0027575	GABA-B-R2	NT.receptor	CG6706	GABA(B) RECEPTORS	
FBgn0031275	GABA-B-R3	NT.receptor	CG3022	GABA(B) RECEPTORS	
FBgn0004619	GluRIA	NT.receptor	CG8442	NON-NMDA IONOTROPIC GLUTAMATE RECEPTORS - OTHER	
FBgn0264000	GluRIB	NT.receptor	CG43743	NON-NMDA IONOTROPIC GLUTAMATE RECEPTORS - OTHER	
FBgn0004620	GluRIIA	NT.receptor	CG6992	NON-NMDA IONOTROPIC GLUTAMATE RECEPTORS - GLURII NEUROMUSCULAR JUNCTION-SUBTYPE	
FBgn0020429	GluRIIB	NT.receptor	CG7234	NON-NMDA IONOTROPIC GLUTAMATE RECEPTORS - GLURII NEUROMUSCULAR JUNCTION-SUBTYPE	
FBgn0046113	GluRIIC	NT.receptor	CG4226	NON-NMDA IONOTROPIC GLUTAMATE RECEPTORS - GLURII NEUROMUSCULAR JUNCTION-SUBTYPE	
FBgn0028422	GluRIID	NT.receptor	CG18039	NON-NMDA IONOTROPIC GLUTAMATE RECEPTORS - GLURII NEUROMUSCULAR JUNCTION-SUBTYPE	
FBgn0051201	GluRIIE	NT.receptor	CG31201	NON-NMDA IONOTROPIC GLUTAMATE RECEPTORS - GLURII NEUROMUSCULAR JUNCTION-SUBTYPE	
FBgn0001134	Grd	NT.receptor	CG7446	GABA-GATED CHLORIDE CHANNEL SUBUNITS	
FBgn0038840	Grik	NT.receptor	CG5621	NON-NMDA IONOTROPIC GLUTAMATE RECEPTORS - OTHER	
FBgn0037950	HisCl1	NT.receptor	CG14723	HISTAMINE-GATED CHLORIDE CHANNEL SUBUNITS	
FBgn0010240	Lcch3	NT.receptor	CG17336	GABA-GATED CHLORIDE CHANNEL SUBUNITS	
FBgn0000037	mAChR-A	NT.receptor	CG4356	MUSCARINIC ACETYLCHOLINE RECEPTORS	
FBgn0037546	mAChR-B	NT.receptor	CG7918	MUSCARINIC ACETYLCHOLINE RECEPTORS	
FBgn0029909	mAChR-C	NT.receptor	CG12796	MUSCARINIC ACETYLCHOLINE RECEPTORS	ORPHAN AMINE RECEPTORS
FBgn0019985	mGluR	NT.receptor	CG11144	METABOTROPIC GLUTAMATE RECEPTORS	
FBgn0050361	mtt	NT.receptor	CG30361	METABOTROPIC GLUTAMATE RECEPTORS	
FBgn0000036	nAChRalpha1	NT.receptor	CG5610	NICOTINIC ACETYLCHOLINE RECEPTOR SUBUNITS	
FBgn0000039	nAChRalpha2	NT.receptor	CG6844	NICOTINIC ACETYLCHOLINE RECEPTOR SUBUNITS	
FBgn0015519	nAChRalpha3	NT.receptor	CG2302	NICOTINIC ACETYLCHOLINE RECEPTOR SUBUNITS	
FBgn0266347	nAChRalpha4	NT.receptor	CG12414	NICOTINIC ACETYLCHOLINE RECEPTOR SUBUNITS	
FBgn0028875	nAChRalpha5	NT.receptor	CG32975	NICOTINIC ACETYLCHOLINE RECEPTOR SUBUNITS	
FBgn0032151	nAChRalpha6	NT.receptor	CG4128	NICOTINIC ACETYLCHOLINE RECEPTOR SUBUNITS	
FBgn0086778	nAChRalpha7	NT.receptor	CG32538	NICOTINIC ACETYLCHOLINE RECEPTOR SUBUNITS	
FBgn0000038	nAChRbeta1	NT.receptor	CG11348	NICOTINIC ACETYLCHOLINE RECEPTOR SUBUNITS	
FBgn0004118	nAChRbeta2	NT.receptor	CG6798	NICOTINIC ACETYLCHOLINE RECEPTOR SUBUNITS	
FBgn0031261	nAChRbeta3	NT.receptor	CG11822	NICOTINIC ACETYLCHOLINE RECEPTOR SUBUNITS	
FBgn0010399	Nmdar1	NT.receptor	CG2902	NMDA IONOTROPIC GLUTAMATE RECEPTORS	
FBgn0053513	Nmdar2	NT.receptor	CG33513	NMDA IONOTROPIC GLUTAMATE RECEPTORS	
FBgn0024944	Oamb	NT.receptor	CG3856	OCTOPAMINE RECEPTORS	
FBgn0004514	Oct-TyrR	NT.receptor	CG7485	OCTOPAMINE RECEPTORS	TYRAMINE RECEPTORS
FBgn0038980	Octbeta1R	NT.receptor	CG6919	OCTOPAMINE RECEPTORS	
FBgn0038063	Octbeta2R	NT.receptor	CG33976	OCTOPAMINE RECEPTORS	
FBgn0250910	Octbeta3R	NT.receptor	CG42244	OCTOPAMINE RECEPTORS	
FBgn0003011	ort	NT.receptor	CG7411	HISTAMINE-GATED CHLORIDE CHANNEL SUBUNITS	
FBgn0004244	Rdl	NT.receptor	CG10537	GABA-GATED CHLORIDE CHANNEL SUBUNITS	
FBgn0038542	TyrR	NT.receptor	CG7431	TYRAMINE RECEPTORS	
FBgn0038541	TyrRII	NT.receptor	CG16766	TYRAMINE RECEPTORS	
FBgn0004552	Akh	NP	CG1171	NEUROPEPTIDES	
FBgn0086782	amn	NP	CG11937	NEUROPEPTIDES	
FBgn0015591	AstA	NP	CG13633	NEUROPEPTIDES	
FBgn0032336	AstC	NP	CG14919	NEUROPEPTIDES	
FBgn0032337	AstCC	NP	CG14920	NEUROPEPTIDES	
FBgn0038901	Burs	NP	CG13419	NEUROPEPTIDES	
FBgn0039722	Capa	NP	CG15520	NEUROPEPTIDES	
FBgn0039007	CCAP	NP	CG4910	NEUROPEPTIDES	
FBgn0038199	CCHa1	NP	CG14358	NEUROPEPTIDES	
FBgn0038147	CCHa2	NP	CG14375	NEUROPEPTIDES	
FBgn0013767	Crz	NP	CG3302	NEUROPEPTIDES	
FBgn0032048	Dh31	NP	CG13094	NEUROPEPTIDES	
FBgn0012344	Dh44	NP	CG8348	NEUROPEPTIDES	
FBgn0000500	Dsk	NP	CG18090	NEUROPEPTIDES	
FBgn0000564	Eh	NP	CG5400	NEUROPEPTIDES	
FBgn0028738	ETH	NP	CG18105	NEUROPEPTIDES	
FBgn0000715	FMRFa	NP	CG2346	NEUROPEPTIDES	
FBgn0261386	Gpa2	NP	CG17878	NEUROPEPTIDES	
FBgn0063368	Gpb5	NP	CG40041	NEUROPEPTIDES	
FBgn0028374	Hug	NP	CG6371	NEUROPEPTIDES	
FBgn0044051	Ilp1	NP	CG14173	NEUROPEPTIDES	
FBgn0036046	Ilp2	NP	CG8167	NEUROPEPTIDES	
FBgn0044050	Ilp3	NP	CG14167	NEUROPEPTIDES	
FBgn0044049	Ilp4	NP	CG6736	NEUROPEPTIDES	
FBgn0044048	Ilp5	NP	CG33273	NEUROPEPTIDES	
FBgn0044047	Ilp6	NP	CG14049	NEUROPEPTIDES	
FBgn0044046	Ilp7	NP	CG13317	NEUROPEPTIDES	
FBgn0036690	Ilp8	NP	CG14059	NEUROPEPTIDES	
FBgn0035023	ITP	NP	CG13586	NEUROPEPTIDES	
FBgn0028418	Lk	NP	CG13480	NEUROPEPTIDES	
FBgn0036713	Mip	NP	CG6456	NEUROPEPTIDES	
FBgn0011581	Ms	NP	CG6440	NEUROPEPTIDES	
FBgn0027109	NPF	NP	CG10342	NEUROPEPTIDES	
FBgn0035092	Nplp1	NP	CG3441	NEUROPEPTIDES	
FBgn0040813	Nplp2	NP	CG11051	NEUROPEPTIDES	
FBgn0042201	Nplp3	NP	CG13061	NEUROPEPTIDES	
FBgn0040717	Nplp4	NP	CG15361	NEUROPEPTIDES	
FBgn0034935	Orcokinin	NP	CG13565	NEUROPEPTIDES	
FBgn0264810	Pburs	NP	CG15284	NEUROPEPTIDES	
FBgn0023178	Pdf	NP	CG6496	NEUROPEPTIDES	
FBgn0045038	Proc	NP	CG7105	NEUROPEPTIDES	
FBgn0013323	Ptth	NP	CG13687	NEUROPEPTIDES	
FBgn0085512	RYa	NP	CG40733	NEUROPEPTIDES	
