transcript_id	gene_id	transcript_name	gene_name	gene_biotype
FBtr0392909	FBgn0267431	Myo81F-RB	Myo81F	protein_coding
FBtr0114258	FBgn0085804	FBtr0114258	CR41571	pseudogene
FBtr0302440	FBgn0039987	FBtr0302440	CR12798	pseudogene
FBtr0347367	FBgn0267798	FBtr0347367	CR46123	ncRNA
FBtr0347366	FBgn0267797	FBtr0347366	CR46122	ncRNA
FBtr0302347	FBgn0058182	FBtr0302347	CR40182	pseudogene
FBtr0445191	FBgn0267430	Pzl-RE	Pzl	protein_coding
FBtr0345282	FBgn0266747	FBtr0345282	CR45220	ncRNA
FBtr0345281	FBgn0266747	FBtr0345281	CR45220	ncRNA
FBtr0300207	FBgn0086917	spok-RB	spok	protein_coding
FBtr0113885	FBgn0010247	Parp-RB	Parp	protein_coding
FBtr0301810	FBgn0086378	Alg-2-RC	Alg-2	protein_coding
FBtr0347386	FBgn0267816	FBtr0347386	CR46141	ncRNA
FBtr0113895	FBgn0263977	Tim17b-RA	Tim17b	protein_coding
FBtr0345179	FBgn0263977	Tim17b-RB	Tim17b	protein_coding
FBtr0301812	FBgn0069923	CG41128-RB	CG41128	protein_coding
FBtr0113991	FBgn0039955	CG41099-RB	CG41099	protein_coding
FBtr0344573	FBgn0039955	CG41099-RE	CG41099	protein_coding
FBtr0113990	FBgn0039955	CG41099-RC	CG41099	protein_coding
FBtr0113989	FBgn0039955	CG41099-RD	CG41099	protein_coding
FBtr0339974	FBgn0259821	CG42402-RE	CG42402	protein_coding
FBtr0336454	FBgn0259821	CG42402-RD	CG42402	protein_coding
FBtr0301942	FBgn0259821	CG42402-RC	CG42402	protein_coding
FBtr0113694	FBgn0027341	Gfat1-RH	Gfat1	protein_coding
FBtr0302850	FBgn0027341	Gfat1-RN	Gfat1	protein_coding
FBtr0113692	FBgn0027341	Gfat1-RD	Gfat1	protein_coding
FBtr0302849	FBgn0027341	Gfat1-RM	Gfat1	protein_coding
FBtr0113690	FBgn0027341	Gfat1-RF	Gfat1	protein_coding
FBtr0113687	FBgn0027341	Gfat1-RA	Gfat1	protein_coding
FBtr0302848	FBgn0027341	Gfat1-RL	Gfat1	protein_coding
FBtr0302847	FBgn0027341	Gfat1-RK	Gfat1	protein_coding
FBtr0302846	FBgn0027341	Gfat1-RJ	Gfat1	protein_coding
FBtr0114267	FBgn0085812	FBtr0114267	CR41601	ncRNA
FBtr0333189	FBgn0058198	CG40198-RC	CG40198	protein_coding
FBtr0301809	FBgn0058198	CG40198-RB	CG40198	protein_coding
FBtr0078962	FBgn0037213	CG12581-RA	CG12581	protein_coding
FBtr0078961	FBgn0037213	CG12581-RB	CG12581	protein_coding
FBtr0308946	FBgn0053294	FBtr0308946	CR33294	pseudogene
FBtr0308945	FBgn0053294	FBtr0308945	CR33294	pseudogene
FBtr0078989	FBgn0000500	Dsk-RA	Dsk	protein_coding
FBtr0336703	FBgn0037215	beta-Man-RG	beta-Man	protein_coding
FBtr0306022	FBgn0037215	beta-Man-RD	beta-Man	protein_coding
FBtr0078964	FBgn0037215	beta-Man-RA	beta-Man	protein_coding
FBtr0336704	FBgn0037215	beta-Man-RH	beta-Man	protein_coding
FBtr0336702	FBgn0037215	beta-Man-RF	beta-Man	protein_coding
FBtr0111206	FBgn0037217	CG14636-RB	CG14636	protein_coding
FBtr0078988	FBgn0037217	CG14636-RA	CG14636	protein_coding
FBtr0078965	FBgn0037218	aux-RA	aux	protein_coding
FBtr0078966	FBgn0037218	aux-RB	aux	protein_coding
FBtr0336706	FBgn0037218	aux-RD	aux	protein_coding
FBtr0336705	FBgn0037218	aux-RC	aux	protein_coding
FBtr0078987	FBgn0051516	CG31516-RA	CG31516	protein_coding
FBtr0078986	FBgn0261436	DhpD-RA	DhpD	protein_coding
FBtr0078985	FBgn0037220	CG14641-RA	CG14641	protein_coding
FBtr0078967	FBgn0015331	abs-RA	abs	protein_coding
FBtr0078968	FBgn0010225	Gel-RB	Gel	protein_coding
FBtr0078969	FBgn0010225	Gel-RD	Gel	protein_coding
FBtr0336707	FBgn0010225	Gel-RL	Gel	protein_coding
FBtr0309256	FBgn0010225	Gel-RJ	Gel	protein_coding
FBtr0078973	FBgn0010225	Gel-RF	Gel	protein_coding
FBtr0078971	FBgn0010225	Gel-RA	Gel	protein_coding
FBtr0309257	FBgn0010225	Gel-RK	Gel	protein_coding
FBtr0347586	FBgn0267988	FBtr0347586	CR46255	ncRNA
FBtr0089688	FBgn0037222	CG14642-RA	CG14642	protein_coding
FBtr0309258	FBgn0037222	CG14642-RC	CG14642	protein_coding
FBtr0089687	FBgn0037222	CG14642-RB	CG14642	protein_coding
FBtr0112501	FBgn0085334	CG34305-RA	CG34305	protein_coding
FBtr0113190	FBgn0037223	FBtr0113190	TwdlU	pseudogene
FBtr0078975	FBgn0037224	TwdlF-RA	TwdlF	protein_coding
FBtr0078982	FBgn0037225	TwdlG-RA	TwdlG	protein_coding
FBtr0346145	FBgn0037225	TwdlG-RC	TwdlG	protein_coding
FBtr0336709	FBgn0037225	TwdlG-RB	TwdlG	protein_coding
FBtr0336708	FBgn0250821	CG14644-RB	CG14644	protein_coding
FBtr0078981	FBgn0250821	CG14644-RA	CG14644	protein_coding
FBtr0078976	FBgn0037227	TwdlV-RA	TwdlV	protein_coding
FBtr0078977	FBgn0041621	Or82a-RA	Or82a	protein_coding
FBtr0336480	FBgn0037228	CG1092-RC	CG1092	protein_coding
FBtr0336481	FBgn0037228	CG1092-RD	CG1092	protein_coding
FBtr0113191	FBgn0037229	CG9766-RC	CG9766	protein_coding
FBtr0346235	FBgn0267157	FBtr0346235	CR45597	ncRNA
FBtr0078897	FBgn0041605	cpx-RG	cpx	protein_coding
FBtr0336482	FBgn0041605	cpx-RAB	cpx	protein_coding
FBtr0078898	FBgn0041605	cpx-RI	cpx	protein_coding
FBtr0301769	FBgn0041605	cpx-RV	cpx	protein_coding
FBtr0301768	FBgn0041605	cpx-RU	cpx	protein_coding
FBtr0078899	FBgn0041605	cpx-RH	cpx	protein_coding
FBtr0078902	FBgn0041605	cpx-RE	cpx	protein_coding
FBtr0078900	FBgn0041605	cpx-RC	cpx	protein_coding
FBtr0113340	FBgn0041605	cpx-RO	cpx	protein_coding
FBtr0301770	FBgn0041605	cpx-RW	cpx	protein_coding
FBtr0113338	FBgn0041605	cpx-RM	cpx	protein_coding
FBtr0300789	FBgn0041605	cpx-RS	cpx	protein_coding
FBtr0113341	FBgn0041605	cpx-RP	cpx	protein_coding
FBtr0301771	FBgn0041605	cpx-RX	cpx	protein_coding
FBtr0301772	FBgn0041605	cpx-RY	cpx	protein_coding
FBtr0078901	FBgn0041605	cpx-RA	cpx	protein_coding
FBtr0113337	FBgn0041605	cpx-RL	cpx	protein_coding
FBtr0100500	FBgn0041605	cpx-RK	cpx	protein_coding
FBtr0310614	FBgn0041605	cpx-RAA	cpx	protein_coding
FBtr0310506	FBgn0041605	cpx-RZ	cpx	protein_coding
FBtr0100499	FBgn0041605	cpx-RJ	cpx	protein_coding
FBtr0078959	FBgn0037230	CG9780-RA	CG9780	protein_coding
FBtr0304264	FBgn0262214	FBtr0304264	mir-929	pre_miRNA
FBtr0347550	FBgn0037231	Vps24-RB	Vps24	protein_coding
FBtr0078958	FBgn0037231	Vps24-RA	Vps24	protein_coding
FBtr0300936	FBgn0027930	MP1-RC	MP1	protein_coding
FBtr0445313	FBgn0027930	MP1-RE	MP1	protein_coding
FBtr0078903	FBgn0027930	MP1-RA	MP1	protein_coding
FBtr0347385	FBgn0267815	FBtr0347385	CR46140	ncRNA
FBtr0347365	FBgn0037232	Suv3-RD	Suv3	protein_coding
FBtr0273009	FBgn0037232	Suv3-RC	Suv3	protein_coding
FBtr0336485	FBgn0261086	Syt14-RC	Syt14	protein_coding
FBtr0078957	FBgn0261086	Syt14-RA	Syt14	protein_coding
FBtr0339551	FBgn0261086	Syt14-RD	Syt14	protein_coding
FBtr0336484	FBgn0037234	CG9795-RF	CG9795	protein_coding
FBtr0100617	FBgn0037234	CG9795-RD	CG9795	protein_coding
FBtr0078907	FBgn0037234	CG9795-RA	CG9795	protein_coding
FBtr0336483	FBgn0037234	CG9795-RE	CG9795	protein_coding
FBtr0078955	FBgn0027866	CG9776-RA	CG9776	protein_coding
